Wind On,Solar
293.0,0.0
285.5,0.0
278.0,0.0
267.25,0.0
256.5,0.0
245.75,0.0
235.0,0.0
226.0,0.0
217.0,0.0
208.0,0.0
199.0,0.0
187.5,0.0
176.0,0.0
164.5,0.0
153.0,0.0
144.0,0.0
135.0,0.0
126.0,0.0
117.0,0.0
110.0,10.25
103.0,20.5
96.0,30.75
89.0,41.0
79.0,66.5
69.0,92.0
59.0,117.5
49.0,143.0
44.5,160.0
40.0,177.0
35.5,194.0
31.0,211.0
35.5,221.75
40.0,232.5
44.5,243.25
49.0,254.0
58.5,257.25
68.0,260.5
77.5,263.75
87.0,267.0
88.75,264.0
90.5,261.0
92.25,258.0
94.0,255.0
104.75,249.5
115.5,244.0
126.25,238.5
137.0,233.0
150.5,218.75
164.0,204.5
177.5,190.25
191.0,176.0
216.75,148.25
242.5,120.5
268.25,92.75
294.0,65.0
314.0,49.0
334.0,33.0
354.0,17.0
374.0,1.0
378.75,0.75
383.5,0.5
388.25,0.25
393.0,0.0
373.5,0.0
354.0,0.0
334.5,0.0
315.0,0.0
289.75,0.0
264.5,0.0
239.25,0.0
214.0,0.0
222.5,0.0
231.0,0.0
239.5,0.0
248.0,0.0
271.5,0.0
295.0,0.0
318.5,0.0
342.0,0.0
354.5,0.0
367.0,0.0
379.5,0.0
392.0,0.0
402.0,0.0
412.0,0.0
422.0,0.0
432.0,0.0
417.5,0.0
403.0,0.0
388.5,0.0
374.0,0.0
358.5,0.0
343.0,0.0
327.5,0.0
312.0,0.0
303.25,0.0
294.5,0.0
285.75,0.0
277.0,0.0
262.0,0.0
247.0,0.0
232.0,0.0
217.0,0.0
215.75,0.0
214.5,0.0
213.25,0.0
212.0,0.0
243.75,0.0
275.5,0.0
307.25,0.0
339.0,0.0
338.5,0.0
338.0,0.0
337.5,0.0
337.0,0.0
318.75,3.0
300.5,6.0
282.25,9.0
264.0,12.0
245.0,27.25
226.0,42.5
207.0,57.75
188.0,73.0
173.0,87.25
158.0,101.5
143.0,115.75
128.0,130.0
114.5,145.0
101.0,160.0
87.5,175.0
74.0,190.0
66.75,199.25
59.5,208.5
52.25,217.75
45.0,227.0
45.25,229.75
45.5,232.5
45.75,235.25
46.0,238.0
43.0,236.75
40.0,235.5
37.0,234.25
34.0,233.0
40.5,221.5
