228.5,138.5
214.25,147.75
200.0,157.0
170.25,178.5
140.5,200.0
110.75,221.5
81.0,243.0
61.25,261.5
41.5,280.0
21.75,298.5
2.0,317.0
1.5,322.25
1.0,327.5
0.5,332.75
0.0,338.0
0.0,345.25
0.0,352.5
0.0,359.75
0.0,367.0
0.0,362.5
0.0,358.0
0.0,353.5
0.0,349.0
0.0,351.25
0.0,353.5
0.0,355.75
0.0,358.0
0.0,360.25
0.0,362.5
0.0,364.75
0.0,367.0
0.0,370.75
0.0,374.5
0.0,378.25
0.0,382.0
0.0,385.0
0.0,388.0
0.0,391.0
0.0,394.0
0.0,386.75
0.0,379.5
0.0,372.25
0.0,365.0
0.0,350.75
0.0,336.5
0.0,322.25
0.0,308.0
0.0,300.5
0.0,293.0
0.0,285.5
0.0,278.0
0.0,267.25
0.0,256.5
0.0,245.75
0.0,235.0
0.0,226.0
0.0,217.0
0.0,208.0
0.0,199.0
0.0,187.5
0.0,176.0
0.0,164.5
0.0,153.0
0.0,144.0
0.0,135.0
0.0,126.0
0.0,117.0
10.25,110.0
20.5,103.0
30.75,96.0
41.0,89.0
66.5,79.0
92.0,69.0
117.5,59.0
143.0,49.0
160.0,44.5
177.0,40.0
194.0,35.5
211.0,31.0
221.75,35.5
232.5,40.0
243.25,44.5
254.0,49.0
257.25,58.5
260.5,68.0
263.75,77.5
267.0,87.0
264.0,88.75
261.0,90.5
258.0,92.25
255.0,94.0
249.5,104.75
244.0,115.5
238.5,126.25
233.0,137.0
218.75,150.5
204.5,164.0
190.25,177.5
176.0,191.0
148.25,216.75
120.5,242.5
92.75,268.25
65.0,294.0
49.0,314.0
33.0,334.0
17.0,354.0
1.0,374.0
0.75,378.75
0.5,383.5
0.25,388.25
0.0,393.0
0.0,373.5
0.0,354.0
0.0,334.5
0.0,315.0
0.0,289.75
0.0,264.5
0.0,239.25
0.0,214.0
0.0,222.5
0.0,231.0
0.0,239.5
0.0,248.0
0.0,271.5
0.0,295.0
0.0,318.5
0.0,342.0
0.0,354.5
0.0,367.0
0.0,379.5
0.0,392.0
0.0,402.0
0.0,412.0
0.0,422.0
0.0,432.0
0.0,417.5
0.0,403.0
0.0,388.5
0.0,374.0
0.0,358.5
0.0,343.0
0.0,327.5
0.0,312.0
0.0,303.25
0.0,294.5
0.0,285.75
0.0,277.0
0.0,262.0
0.0,247.0
0.0,232.0
0.0,217.0
0.0,215.75
0.0,214.5
0.0,213.25
0.0,212.0
0.0,243.75
0.0,275.5
0.0,307.25
0.0,339.0
0.0,338.5
0.0,338.0
0.0,337.5
0.0,337.0
3.0,318.75
6.0,300.5
9.0,282.25
12.0,264.0
27.25,245.0
42.5,226.0
57.75,207.0
73.0,188.0
87.25,173.0
101.5,158.0
115.75,143.0
130.0,128.0
145.0,114.5
160.0,101.0
175.0,87.5
190.0,74.0
199.25,66.75
208.5,59.5
217.75,52.25
227.0,45.0
229.75,45.25
232.5,45.5
235.25,45.75
238.0,46.0
236.75,43.0
235.5,40.0
234.25,37.0
233.0,34.0
221.5,40.5
210.0,47.0
198.5,53.5
187.0,60.0
155.5,68.75
124.0,77.5
92.5,86.25
61.0,95.0
