"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST)","310","n/e","n/e","n/e","575","1757","n/e","n/e","n/e","n/e","619","2","1038","1046","n/e","n/e","48","n/e","0","n/e","n/e","513"
"Portugal (PT)","01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST)","307","n/e","n/e","n/e","454","1757","n/e","n/e","n/e","n/e","554","1","967","705","n/e","n/e","43","n/e","0","n/e","n/e","513"
"Portugal (PT)","01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST)","310","n/e","n/e","n/e","446","1757","n/e","n/e","n/e","n/e","308","9","568","474","n/e","n/e","41","n/e","0","n/e","n/e","551"
"Portugal (PT)","01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST)","316","n/e","n/e","n/e","446","1756","n/e","n/e","n/e","n/e","0","154","392","401","n/e","n/e","41","n/e","0","n/e","n/e","597"
"Portugal (PT)","01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST)","315","n/e","n/e","n/e","448","1757","n/e","n/e","n/e","n/e","0","400","404","168","n/e","n/e","41","n/e","0","n/e","n/e","706"
"Portugal (PT)","01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST)","316","n/e","n/e","n/e","448","1758","n/e","n/e","n/e","n/e","0","673","410","152","n/e","n/e","40","n/e","0","n/e","n/e","721"
"Portugal (PT)","01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST)","316","n/e","n/e","n/e","448","1758","n/e","n/e","n/e","n/e","0","817","569","125","n/e","n/e","41","n/e","0","n/e","n/e","765"
"Portugal (PT)","01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST)","323","n/e","n/e","n/e","449","1757","n/e","n/e","n/e","n/e","0","441","632","249","n/e","n/e","41","n/e","0","n/e","n/e","726"
"Portugal (PT)","01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST)","320","n/e","n/e","n/e","449","1648","n/e","n/e","n/e","n/e","17","764","534","419","n/e","n/e","42","n/e","0","n/e","n/e","866"
"Portugal (PT)","01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST)","321","n/e","n/e","n/e","448","1423","n/e","n/e","n/e","n/e","22","662","754","384","n/e","n/e","41","n/e","51","n/e","n/e","845"
"Portugal (PT)","01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST)","325","n/e","n/e","n/e","445","1384","n/e","n/e","n/e","n/e","22","102","759","259","n/e","n/e","42","n/e","177","n/e","n/e","801"
"Portugal (PT)","01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST)","326","n/e","n/e","n/e","441","1385","n/e","n/e","n/e","n/e","22","25","636","267","n/e","n/e","41","n/e","253","n/e","n/e","777"
"Portugal (PT)","01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST)","328","n/e","n/e","n/e","435","1395","n/e","n/e","n/e","n/e","154","20","665","296","n/e","n/e","42","n/e","279","n/e","n/e","623"
"Portugal (PT)","01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST)","328","n/e","n/e","n/e","432","1522","n/e","n/e","n/e","n/e","189","19","690","293","n/e","n/e","41","n/e","290","n/e","n/e","352"
