"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","02.10.2020 03:00 - 02.10.2020 04:00 (CET/CEST)","389","n/e","n/e","n/e","704","0","n/e","n/e","n/e","n/e","0","1157","14","0","n/e","n/e","36","n/e","0","n/e","22","4241"
"Portugal (PT)","02.10.2020 04:00 - 02.10.2020 05:00 (CET/CEST)","391","n/e","n/e","n/e","694","0","n/e","n/e","n/e","n/e","0","1382","15","0","n/e","n/e","35","n/e","0","n/e","25","4308"
"Portugal (PT)","02.10.2020 05:00 - 02.10.2020 06:00 (CET/CEST)","382","n/e","n/e","n/e","714","0","n/e","n/e","n/e","n/e","0","1323","14","0","n/e","n/e","33","n/e","0","n/e","25","4331"
"Portugal (PT)","02.10.2020 06:00 - 02.10.2020 07:00 (CET/CEST)","388","n/e","n/e","n/e","746","0","n/e","n/e","n/e","n/e","0","993","21","0","n/e","n/e","34","n/e","0","n/e","25","4329"
"Portugal (PT)","02.10.2020 07:00 - 02.10.2020 08:00 (CET/CEST)","386","n/e","n/e","n/e","750","0","n/e","n/e","n/e","n/e","54","206","411","1","n/e","n/e","35","n/e","0","n/e","25","4244"
"Portugal (PT)","02.10.2020 08:00 - 02.10.2020 09:00 (CET/CEST)","381","n/e","n/e","n/e","871","0","n/e","n/e","n/e","n/e","0","185","807","17","n/e","n/e","33","n/e","0","n/e","21","4242"
"Portugal (PT)","02.10.2020 09:00 - 02.10.2020 10:00 (CET/CEST)","381","n/e","n/e","n/e","877","0","n/e","n/e","n/e","n/e","21","119","772","99","n/e","n/e","33","n/e","16","n/e","18","4211"
"Portugal (PT)","02.10.2020 10:00 - 02.10.2020 11:00 (CET/CEST)","387","n/e","n/e","n/e","846","0","n/e","n/e","n/e","n/e","311","113","1136","73","n/e","n/e","34","n/e","66","n/e","19","4214"
"Portugal (PT)","02.10.2020 11:00 - 02.10.2020 12:00 (CET/CEST)","396","n/e","n/e","n/e","865","0","n/e","n/e","n/e","n/e","299","8","1146","88","n/e","n/e","35","n/e","142","n/e","17","4149"
"Portugal (PT)","02.10.2020 12:00 - 02.10.2020 13:00 (CET/CEST)","396","n/e","n/e","n/e","843","0","n/e","n/e","n/e","n/e","334","3","1107","24","n/e","n/e","34","n/e","204","n/e","19","4179"
"Portugal (PT)","02.10.2020 13:00 - 02.10.2020 14:00 (CET/CEST)","396","n/e","n/e","n/e","814","0","n/e","n/e","n/e","n/e","176","3","662","3","n/e","n/e","35","n/e","268","n/e","17","4384"
"Portugal (PT)","02.10.2020 14:00 - 02.10.2020 15:00 (CET/CEST)","402","n/e","n/e","n/e","868","0","n/e","n/e","n/e","n/e","0","336","548","5","n/e","n/e","35","n/e","290","n/e","25","4441"
"Portugal (PT)","02.10.2020 15:00 - 02.10.2020 16:00 (CET/CEST)","402","n/e","n/e","n/e","910","0","n/e","n/e","n/e","n/e","0","336","112","6","n/e","n/e","35","n/e","299","n/e","25","4396"
"Portugal (PT)","02.10.2020 16:00 - 02.10.2020 17:00 (CET/CEST)","400","n/e","n/e","n/e","853","0","n/e","n/e","n/e","n/e","0","739","218","8","n/e","n/e","34","n/e","312","n/e","25","4455"
