"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","355","n/e","n/e","n/e","1654","1756","n/e","n/e","n/e","n/e","168","5","335","0","n/e","n/e","41","n/e","0","n/e","n/e","325"
"Portugal (PT)","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","358","n/e","n/e","n/e","999","1756","n/e","n/e","n/e","n/e","157","6","218","0","n/e","n/e","41","n/e","0","n/e","n/e","374"
"Portugal (PT)","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","358","n/e","n/e","n/e","805","1756","n/e","n/e","n/e","n/e","101","60","248","0","n/e","n/e","40","n/e","0","n/e","n/e","420"
"Portugal (PT)","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","352","n/e","n/e","n/e","668","1757","n/e","n/e","n/e","n/e","100","33","184","0","n/e","n/e","40","n/e","0","n/e","n/e","433"
"Portugal (PT)","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","357","n/e","n/e","n/e","357","1756","n/e","n/e","n/e","n/e","0","663","190","3","n/e","n/e","41","n/e","0","n/e","n/e","450"
"Portugal (PT)","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","355","n/e","n/e","n/e","350","1756","n/e","n/e","n/e","n/e","0","945","137","52","n/e","n/e","41","n/e","0","n/e","n/e","435"
"Portugal (PT)","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","355","n/e","n/e","n/e","483","1756","n/e","n/e","n/e","n/e","0","1235","167","53","n/e","n/e","41","n/e","0","n/e","n/e","395"
"Portugal (PT)","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","353","n/e","n/e","n/e","615","1607","n/e","n/e","n/e","n/e","0","1139","275","0","n/e","n/e","40","n/e","0","n/e","n/e","458"
"Portugal (PT)","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","355","n/e","n/e","n/e","621","1248","n/e","n/e","n/e","n/e","0","1044","420","10","n/e","n/e","40","n/e","0","n/e","n/e","492"
"Portugal (PT)","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","353","n/e","n/e","n/e","591","1412","n/e","n/e","n/e","n/e","0","1325","433","10","n/e","n/e","39","n/e","33","n/e","n/e","464"
"Portugal (PT)","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","354","n/e","n/e","n/e","696","1729","n/e","n/e","n/e","n/e","0","1300","459","14","n/e","n/e","39","n/e","126","n/e","n/e","422"
"Portugal (PT)","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","354","n/e","n/e","n/e","1043","1758","n/e","n/e","n/e","n/e","0","110","522","29","n/e","n/e","39","n/e","191","n/e","n/e","375"
"Portugal (PT)","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","354","n/e","n/e","n/e","1257","1758","n/e","n/e","n/e","n/e","163","12","440","208","n/e","n/e","40","n/e","225","n/e","n/e","370"
"Portugal (PT)","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","358","n/e","n/e","n/e","1305","1756","n/e","n/e","n/e","n/e","142","12","377","279","n/e","n/e","39","n/e","240","n/e","n/e","409"
