"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","25.02.2016 12:00 - 25.02.2016 13:00 (CET/CEST)","278","n/e","n/e","n/e","598","1383","n/e","n/e","n/e","n/e","997","3","2428","1205","n/e","n/e","46","n/e","181","n/e","n/e","1269"
"Portugal (PT)","25.02.2016 13:00 - 25.02.2016 14:00 (CET/CEST)","277","n/e","n/e","n/e","593","1422","n/e","n/e","n/e","n/e","926","1","2430","1089","n/e","n/e","46","n/e","169","n/e","n/e","1074"
"Portugal (PT)","25.02.2016 14:00 - 25.02.2016 15:00 (CET/CEST)","277","n/e","n/e","n/e","592","1404","n/e","n/e","n/e","n/e","691","2","2425","1090","n/e","n/e","47","n/e","152","n/e","n/e","1061"
"Portugal (PT)","25.02.2016 15:00 - 25.02.2016 16:00 (CET/CEST)","275","n/e","n/e","n/e","593","1497","n/e","n/e","n/e","n/e","714","3","2466","1073","n/e","n/e","46","n/e","152","n/e","n/e","1056"
"Portugal (PT)","25.02.2016 16:00 - 25.02.2016 17:00 (CET/CEST)","277","n/e","n/e","n/e","587","1422","n/e","n/e","n/e","n/e","502","3","2422","1095","n/e","n/e","47","n/e","137","n/e","n/e","1135"
"Portugal (PT)","25.02.2016 17:00 - 25.02.2016 18:00 (CET/CEST)","279","n/e","n/e","n/e","585","1451","n/e","n/e","n/e","n/e","1021","0","2357","1156","n/e","n/e","45","n/e","100","n/e","n/e","1150"
"Portugal (PT)","25.02.2016 18:00 - 25.02.2016 19:00 (CET/CEST)","279","n/e","n/e","n/e","589","1449","n/e","n/e","n/e","n/e","1153","0","2252","1181","n/e","n/e","46","n/e","38","n/e","n/e","1190"
"Portugal (PT)","25.02.2016 19:00 - 25.02.2016 20:00 (CET/CEST)","274","n/e","n/e","n/e","592","1529","n/e","n/e","n/e","n/e","1160","1","2330","1243","n/e","n/e","46","n/e","1","n/e","n/e","1260"
"Portugal (PT)","25.02.2016 20:00 - 25.02.2016 21:00 (CET/CEST)","273","n/e","n/e","n/e","596","1517","n/e","n/e","n/e","n/e","1270","1","2366","1176","n/e","n/e","46","n/e","0","n/e","n/e","1402"
"Portugal (PT)","25.02.2016 21:00 - 25.02.2016 22:00 (CET/CEST)","269","n/e","n/e","n/e","596","1545","n/e","n/e","n/e","n/e","1281","1","2476","1164","n/e","n/e","44","n/e","0","n/e","n/e","1341"
"Portugal (PT)","25.02.2016 22:00 - 25.02.2016 23:00 (CET/CEST)","266","n/e","n/e","n/e","597","1442","n/e","n/e","n/e","n/e","1218","1","2424","1182","n/e","n/e","45","n/e","0","n/e","n/e","1245"
