"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","340","n/e","n/e","n/e","364","270","n/e","n/e","n/e","n/e","377","102","262","46","n/e","n/e","41","n/e","0","n/e","n/e","1502"
"Portugal (PT)","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","218","n/e","n/e","n/e","380","270","n/e","n/e","n/e","n/e","369","65","279","79","n/e","n/e","152","n/e","0","n/e","n/e","1603"
"Portugal (PT)","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","221","n/e","n/e","n/e","381","271","n/e","n/e","n/e","n/e","339","255","248","79","n/e","n/e","153","n/e","0","n/e","n/e","1559"
"Portugal (PT)","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","216","n/e","n/e","n/e","381","270","n/e","n/e","n/e","n/e","602","668","179","119","n/e","n/e","153","n/e","0","n/e","n/e","1543"
"Portugal (PT)","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","215","n/e","n/e","n/e","381","270","n/e","n/e","n/e","n/e","273","759","172","67","n/e","n/e","153","n/e","0","n/e","n/e","1797"
"Portugal (PT)","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","212","n/e","n/e","n/e","380","270","n/e","n/e","n/e","n/e","48","895","168","67","n/e","n/e","153","n/e","0","n/e","n/e","2014"
"Portugal (PT)","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","213","n/e","n/e","n/e","380","270","n/e","n/e","n/e","n/e","0","1361","158","67","n/e","n/e","153","n/e","0","n/e","n/e","2454"
"Portugal (PT)","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","215","n/e","n/e","n/e","381","270","n/e","n/e","n/e","n/e","0","1675","160","70","n/e","n/e","154","n/e","0","n/e","n/e","2869"
"Portugal (PT)","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","212","n/e","n/e","n/e","380","271","n/e","n/e","n/e","n/e","0","1919","158","70","n/e","n/e","155","n/e","0","n/e","n/e","3116"
"Portugal (PT)","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","213","n/e","n/e","n/e","379","270","n/e","n/e","n/e","n/e","0","1790","189","73","n/e","n/e","155","n/e","41","n/e","n/e","3058"
"Portugal (PT)","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","215","n/e","n/e","n/e","378","270","n/e","n/e","n/e","n/e","0","1728","204","127","n/e","n/e","157","n/e","147","n/e","n/e","3120"
"Portugal (PT)","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","214","n/e","n/e","n/e","377","270","n/e","n/e","n/e","n/e","0","1966","217","113","n/e","n/e","156","n/e","229","n/e","n/e","3305"
"Portugal (PT)","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","217","n/e","n/e","n/e","374","271","n/e","n/e","n/e","n/e","0","1605","218","113","n/e","n/e","149","n/e","259","n/e","n/e","3336"
"Portugal (PT)","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","217","n/e","n/e","n/e","373","270","n/e","n/e","n/e","n/e","0","1409","240","66","n/e","n/e","152","n/e","256","n/e","n/e","3362"
"Portugal (PT)","01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","216","n/e","n/e","n/e","371","271","n/e","n/e","n/e","n/e","0","1430","200","61","n/e","n/e","149","n/e","223","n/e","n/e","3323"
"Portugal (PT)","01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","222","n/e","n/e","n/e","371","270","n/e","n/e","n/e","n/e","0","1364","199","66","n/e","n/e","154","n/e","202","n/e","n/e","3264"
"Portugal (PT)","01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","219","n/e","n/e","n/e","371","270","n/e","n/e","n/e","n/e","0","1300","197","66","n/e","n/e","151","n/e","138","n/e","n/e","3015"
"Portugal (PT)","01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","216","n/e","n/e","n/e","373","270","n/e","n/e","n/e","n/e","74","1159","197","66","n/e","n/e","144","n/e","55","n/e","n/e","2839"
"Portugal (PT)","01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","215","n/e","n/e","n/e","374","270","n/e","n/e","n/e","n/e","119","1051","223","102","n/e","n/e","149","n/e","1","n/e","n/e","2678"
"Portugal (PT)","01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","219","n/e","n/e","n/e","376","270","n/e","n/e","n/e","n/e","351","403","219","113","n/e","n/e","151","n/e","0","n/e","n/e","2696"
"Portugal (PT)","01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","218","n/e","n/e","n/e","379","270","n/e","n/e","n/e","n/e","424","385","215","117","n/e","n/e","153","n/e","0","n/e","n/e","2617"
"Portugal (PT)","01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","218","n/e","n/e","n/e","379","270","n/e","n/e","n/e","n/e","328","70","220","81","n/e","n/e","153","n/e","0","n/e","n/e","2589"
"Portugal (PT)","01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","215","n/e","n/e","n/e","379","270","n/e","n/e","n/e","n/e","412","72","207","46","n/e","n/e","150","n/e","0","n/e","n/e","2613"
"Portugal (PT)","01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","216","n/e","n/e","n/e","383","270","n/e","n/e","n/e","n/e","338","433","136","46","n/e","n/e","152","n/e","0","n/e","n/e","2730"
"Portugal (PT)","02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","214","n/e","n/e","n/e","386","270","n/e","n/e","n/e","n/e","107","1107","241","46","n/e","n/e","153","n/e","0","n/e","n/e","2778"
"Portugal (PT)","02.01.2018 01:00 - 02.01.2018 02:00 (CET/CEST)","213","n/e","n/e","n/e","387","270","n/e","n/e","n/e","n/e","165","1246","274","75","n/e","n/e","151","n/e","0","n/e","n/e","2856"
"Portugal (PT)","02.01.2018 02:00 - 02.01.2018 03:00 (CET/CEST)","211","n/e","n/e","n/e","388","270","n/e","n/e","n/e","n/e","0","1103","165","69","n/e","n/e","150","n/e","0","n/e","n/e","2825"
"Portugal (PT)","02.01.2018 03:00 - 02.01.2018 04:00 (CET/CEST)","208","n/e","n/e","n/e","388","270","n/e","n/e","n/e","n/e","0","1210","132","66","n/e","n/e","146","n/e","0","n/e","n/e","2718"
"Portugal (PT)","02.01.2018 04:00 - 02.01.2018 05:00 (CET/CEST)","209","n/e","n/e","n/e","386","289","n/e","n/e","n/e","n/e","0","1270","132","39","n/e","n/e","148","n/e","0","n/e","n/e","2554"
